"year","Wine_mhl","tm_fl_y1_c15","tm_fl_y1_b10","tm_fl_y1_a10","tm_fl_y0_b10","tm_fl_y0_a10","tm_bb_y0_a15","tm_bb_y0_a30","tm_sm_y1_c20","tm_sm_y0_a20","tm_sm_y0_b20","tm_hv_y1_c10","tm_hv_y1_b20","tn_hv_y0_a30","tm.days.less.15_fl_y1_c15","tm.days.less.15_fl_y1_b15","days_minTemp.less.0_bb_y1_c20","days.minTemp.less.0_bb_y1_a30","days.minTemp.less.0_fl_y1_a10","days.maxTemp.above.35_fl_y1_a10","days.maxTemp.above.35_fl_y1_a20","days.tempMax.above.35_sm_y1_b20","days.maxTemp.above.35_sm_y1_a20","rf_fl_y1_a10","rf_hv_y1_b10","rf_hv_y1_a10","days.rf.above.1mm_fl_y1_c15","days.rf.above.1mm_fl_y1_a20","days.rf.above.1mm_sm_y1_b20","days.rf.above.1mm_sm_y1_a20","days.rf.above.1mm_hv_y1_c10","days.rf.above.1mm_hv_y1_a10","iaf_bb_y1_c10","iaf_fl_y1_b10","iaf_fl_y1_b20","iaf_fl_y1_b30","iaf_fl_y1_a10","iaf_hv_y1_c10","iaf_fl_y0_b10","iaf_fl_y0_b20","iaf_fl_y0_b30","iaf_fl_y0_a10","swa_fl_y1_a15","swa_fl_y1_a30","swa_hv_y1_b20","swa_hv_y1_a20","swa_hv_y0_a15","swa_hv_y0_a20","sw.less.15wp_fl_y1_a10","sw.less.15wp_fl_y1_a20","sw.less.15wp_sm_y1_a10","sw.less.15wp_sm_y1_a20","sw.less.15wp_hv_y1_b20","sw.less.15wp_hv_y1_a20","sw.less.15wp_fl_y0_a10","sw.less.15wp_fl_y0_a20","sw.above.09fc_fl_y1_a10","sw.above.09fc_fl_y1_a20","sw.above.09fc_fl_y0_a10","sw.above.09fc_fl_y0_a20"
1964,2645,16.53,14.52,18.05,17.145,20.19,12.5133333333333,15.22,19.3547619047619,20.745,17.4575,19.3318181818182,20.53,13.7366666666667,5,11,0,0,0,0,0,1,0,21.6,1.6,97.8,9,6,1,4,2,5,0.0102914093275856,2.13706927024734,2.00727389949199,1.71951351523353,2.34094770298429,2.5165,2.09606316375892,1.9339565247463,1.73188149723717,2.37252114061043,176.045788713414,161.446711255746,67.5244025108419,127.402185117999,113.478826396118,160.221320398189,10,20,10,20,20,20,10,20,10,20,10,20
1965,3020.7,17.04,15.865,19.63,14.52,18.05,10.76,16.6666666666667,17.5071428571429,16.5475,22.01,16.7045454545455,15.1975,15.6233333333333,4,6,0,0,0,0,0,1,0,3.3,35.3,42.9,5,3,2,4,5,5,0.264060276866127,2.31646345927634,2.19401476472671,2.05136057074477,2.44284990411816,0,2.13706927024734,2.00727389949199,1.71951351523353,2.34094770298429,107.397810025482,102.880461449955,275.613619783811,322.911666727392,110.754166906772,127.402185117999,10,20,10,20,20,20,10,20,10,20,10,20
1966,1846.1,19.4833333333333,19.91,17.665,15.865,19.63,12.1133333333333,15.3416666666667,19.9309523809524,20.885,20.2925,16.0681818181818,21.0625,13.8916666666667,0,0,0,0,0,0,0,0,0,39.6,124.3,67.2,6,10,3,4,9,6,0.0478271097208274,2.13522296322245,1.81467597047895,1.56988973636295,2.37578435774462,2.5165,2.31646345927634,2.19401476472671,2.05136057074477,2.44284990411816,196.614755322339,191.997253372408,81.1305308541943,234.897221762098,321.930149088688,322.911666727392,10,20,10,20,20,20,10,20,10,20,10,20
1967,2425.9,18.79,18.695,19.815,19.91,17.665,11.98,12.47,20.352380952381,18.675,19.71,16.0636363636364,18.465,14.1683333333333,0,1,0,0,0,0,0,0,0,0,39.2,59.3,1,3,2,5,5,6,0.166735371007595,2.23581034739624,2.02754599103908,1.8551519255433,2.42869033909686,0,2.13522296322245,1.81467597047895,1.56988973636295,2.37578435774462,119.655193403485,114.007352312993,126.35547621481,215.985163857567,217.237109442886,234.897221762098,10,20,10,20,20,20,10,20,10,20,10,20
1968,2419.4,18.26,18.445,17.65,18.695,19.815,10.27,13.0283333333333,20.3595238095238,17.5725,19.915,18.4090909090909,18.025,12.28,1,0,0,0,0,0,1,2,0,0,8.9,44.6,0,1,3,8,3,4,0.0829195070721104,2.16002096006374,1.91381803826126,1.66533186877964,2.38578414725892,0,2.23581034739624,2.02754599103908,1.8551519255433,2.42869033909686,113.665006311935,109.67498965842,125.62026462462,194.23665890849,193.380175535693,215.985163857567,10,20,10,20,20,20,10,20,10,20,10,20
1969,1267.3,15.2333333333333,16.64,14.78,18.445,17.65,11.86,13.9566666666667,20.697619047619,15.745,20.8325,16.4818181818182,18.5975,15.055,7,2,0,0,0,0,0,0,0,37.8,43.3,0,7,4,1,6,1,0,0.0538339011176915,2.17201175603266,1.93492417408089,1.7410268709,2.32396665599451,0,2.16002096006374,1.91381803826126,1.66533186877964,2.38578414725892,209.956067923998,193.422045343177,114.669589576252,126.8733388196,163.291498869008,194.23665890849,10,20,10,20,20,20,10,20,10,20,10,20
1970,2989.8,17.1033333333333,19.41,15.265,16.64,14.78,12.23,13.5633333333333,20.1,18.02,20.6175,15.05,19.845,12.9983333333333,4,2,0,0,0,0,0,0,3,56.5,0,0,6,9,3,6,0,0,0.071912709728989,2.1315238765399,1.74536637737427,1.34842432361749,2.33000120287265,0,2.17201175603266,1.93492417408089,1.7410268709,2.32396665599451,183.365676070926,174.761831413023,59.4781487278583,53.7846598715795,126.678816889865,126.8733388196,10,20,10,20,20,20,10,20,10,20,10,20
1971,1611,20.1766666666667,18.91,21.325,19.41,15.265,12.0533333333333,15.4133333333333,19.6761904761905,18.285,18.8975,16.8681818181818,18.2775,13.6766666666667,0,4,0,0,0,0,0,0,0,10.9,50.3,0,4,5,3,2,1,0,0.0429050188722899,2.12742725619185,1.89692486906899,1.71757453738676,2.39462058197276,0,2.1315238765399,1.74536637737427,1.34842432361749,2.33000120287265,175.401220762606,158.928138937192,89.4437666829973,109.439045042755,54.8560214823344,53.7846598715795,10,20,10,20,20,20,10,20,10,20,10,20
1972,1611,17.9166666666667,17.68,19.46,18.91,21.325,12.91,12.9233333333333,16.9,15.45,19.5625,15.5318181818182,16.885,13.4616666666667,2,1,0,0,0,0,0,0,0,14,25.5,79.5,1,1,7,8,3,4,0.136031259987499,2.22103978713873,2.02527326339354,1.82575238767574,2.40712134955164,0,2.12742725619185,1.89692486906899,1.71757453738676,2.39462058197276,89.2627668615642,87.017496934609,137.780943438664,203.781534362164,109.856447428162,109.439045042755,10,20,10,20,20,20,10,20,10,20,10,20
1973,2735.6,19.91,18.035,20.865,17.68,19.46,11.45,13.1216666666667,21.5880952380952,18.3925,16.93,14.7,14.8125,12.9183333333333,0,3,0,0,0,0,0,0,0,0,90.2,39.6,0,3,1,3,6,3,0.133976683640726,2.22181124364877,2.05338133626517,1.85359472061988,2.43600627698255,0,2.22103978713873,2.02527326339354,1.82575238767574,2.40712134955164,129.462452991648,124.365042128265,137.757742625488,227.329366400405,190.089345513247,203.781534362164,10,20,10,20,20,20,10,20,10,20,10,20
