"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
16,30.3,27,0.0225,-120.273,196.093,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"swa_hv_y1_b20=[141|231]|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
17,30.3,27,0.0225,-120.273,196.093,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 141 mm and 231 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[141|231]|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
17,30.3,27,0.0225,-120.273,196.093,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 3.66 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_hv_y1_b20=[141|231]|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
17,30.3,27,0.0225,-120.273,196.093,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.29 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_hv_y1_b20=[141|231]|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
18,25.8,23,0.0227,-144.166,203.77,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 141 mm and 231 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[141|231]|iaf_bb_y1_c10=[0|0.00167)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
18,25.8,23,0.0227,-144.166,203.77,"below-trend",2,"Leaf Area Index (IAF) in a 10-day window centred on Bud Break (current year) is between 0 m²/m² and 0.00167 m²/m²","iaf_bb_y1_c10",NA,"swa_hv_y1_b20=[141|231]|iaf_bb_y1_c10=[0|0.00167)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
18,25.8,23,0.0227,-144.166,203.77,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"swa_hv_y1_b20=[141|231]|iaf_bb_y1_c10=[0|0.00167)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
19,25.8,23,0.0227,-144.166,203.77,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 141 mm and 231 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[141|231]|iaf_bb_y1_c10=[0|0.00167)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
19,25.8,23,0.0227,-144.166,203.77,"below-trend",2,"Leaf Area Index (IAF) in a 10-day window centred on Bud Break (current year) is between 0 m²/m² and 0.00167 m²/m²","iaf_bb_y1_c10",NA,"swa_hv_y1_b20=[141|231]|iaf_bb_y1_c10=[0|0.00167)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
19,25.8,23,0.0227,-144.166,203.77,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.29 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_hv_y1_b20=[141|231]|iaf_bb_y1_c10=[0|0.00167)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
