"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
13,20,16,0.0403,-389.936,426.965,"below-trend",2,"Available soil water in the 15 days after Flowering (current year) is between 143 mm and 234 mm","swa_fl_y1_a15",NA,"swa_fl_y1_a15=[143|234]|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
13,20,16,0.0403,-389.936,426.965,"below-trend",2,"Cold days (mean temperature below 15°C) in a 15-day window centred on Flowering (current year) is between 0 days and 3.4 days","tm.days.less.15_fl_y1_c15",NA,"swa_fl_y1_a15=[143|234]|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
13,20,16,0.0403,-389.936,426.965,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"swa_fl_y1_a15=[143|234]|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
14,20,16,0.0403,-307.54,615.247,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 61.5 mm and 97 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
14,20,16,0.0403,-307.54,615.247,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
14,20,16,0.0403,-307.54,615.247,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
14,20,16,0.0403,-307.54,615.247,"below-trend",2,"Frost days (minimum temperature below 0°C) in a 20-day window centred on Bud Break (current year) is between 0 days and 1.53 days","days_minTemp.less.0_bb_y1_c20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
15,20,16,0.0403,-268.792,569.57,"below-trend",2,"Mean daily temperature in a 15-day window centred on Flowering (current year) is between 13.8 °C and 17.1 °C","tm_fl_y1_c15",NA,"tm_fl_y1_c15=[13.8|17.1)|tm_fl_y1_a10=[12.6|17.5)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
15,20,16,0.0403,-268.792,569.57,"below-trend",2,"Mean daily temperature in the 10 days after Flowering (current year) is between 12.6 °C and 17.5 °C","tm_fl_y1_a10",NA,"tm_fl_y1_c15=[13.8|17.1)|tm_fl_y1_a10=[12.6|17.5)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
15,20,16,0.0403,-268.792,569.57,"below-trend",2,"Wet-soil days (soil water above 0.9× field capacity) in the 20 days after Flowering (previous year) is between 17.5 days and 20 days","sw.above.09fc_fl_y0_a20",NA,"tm_fl_y1_c15=[13.8|17.1)|tm_fl_y1_a10=[12.6|17.5)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
