"Year","Wine_mhl","Fl_Y1_Tm_C","Fl_Y1_Tm_B1","Fl_Y1_Tm_A1","Fl_Y0_Tm_B1","Fl_Y0_Tm_A1","sM_Y1_Tm_C","sM_Y1_Tm_A1","sM_Y0_Tm_B1","H_Y1_Tm_C","H_Y1_Tm_B1","H_Y0_Tm_A1","Fl_Y1_Tmed_less_15_C","Fl_Y1_Tmed_less_15_B1","BB_Y1_Tmmin_less_0_C","FL_Y1_Tmmin_less_0_A1","FL_Y1_Tmmax_above_35_A1","FL_Y1_Tmmax_above_35_A2","sM_Y1_Tmmax_above_35_B1","sM_Y1_Tmmax_above_35_A1","FL_Y1_rs_A1","H_Y1_rs_B1","H_Y1_rs_A1","FL_Y1_rain_above_1mm_C","FL_Y1_rain_above_1mm_A1","sM_Y1_rain_above_1mm_B1","sM_Y1_rain_above_1mm_A1","H_Y1_rain_above_1mm_C","H_Y1_rain_above_1mm_A1","BB_Y1_Iaf_C","FL_Y1_Iaf_B1","FL_Y1_Iaf_B2","FL_Y1_Iaf_B3","FL_Y1_Iaf_A1","H_Y1_Iaf_C","FL_Y1_swa_A1","FL_Y1_swa_A2","H_Y0_swa_A1","H_Y0_swa_A2","FL_Y1_swc_Sm1.5Wp_A1","FL_Y1_swc_Sm1.5Wp_A2","H_Y1_swc_Sm1.5Wp_B1","H_Y1_swc_Sm1.5Wp_A1","FL_Y0_swc_Sm1.5Wp_A1","FL_Y0_swc_Sm1.5Wp_A2","FL_Y1_swc_Sm_0.9Fc_A1","FL_Y1_swc_Sm_0.9Fc_A2","FL_Y0_swc_Sm_0.9Fc_A1","FL_Y0_swc_Sm_0.9Fc_A2"
1965,1634.9,20.5933333333333,21.535,18.935,20.585,22.64,22.5952380952381,21.6875,21.96,20.7318181818182,19.78,20.8133333333333,1,3,0,0,1,1,1,2,6.2,0.6,156.7,4,4,3,3,3,6,0.00566943953026338,0.545514177370729,0.359881733806405,0.247709568086888,0.971285451294137,1.50989999999917,371.079845604459,364.823818232,105.979033858826,104.155765793366,10,20,20,20,10,20,10,20,10,20
1966,1069,15.6733333333333,15.985,16.605,21.535,18.935,21.5642857142857,24.11,21.465,21.6181818181818,22.71,17.3116666666667,6,4,0,0,0,0,3,7,27.9,2.3,12,2,3,4,4,0,1,0,0.611217481369352,0.457912234596414,0.352579153850307,1.0007195582578,1.5098999999995,391.475497529386,385.843888843025,156.693394455947,178.674987083751,10,20,20,20,10,20,10,20,10,20
1967,1070.1,15.9,15.52,16.41,15.985,16.605,22.9571428571429,23.6725,18.6725,19,19.8025,17.97,5,5,0,0,0,0,2,3,5.6,9.3,0,4,4,1,1,2,0,0,0.606996753868674,0.478450333610207,0.375482128449065,0.800325316139115,1.50989999999897,386.527370499141,381.744730687246,90.3034086784229,109.531125514194,10,20,20,20,10,20,10,20,10,20
1968,1170.6,18.5466666666667,18.865,19.165,15.52,16.41,22.1571428571429,21.4525,21.8175,20.7772727272727,19.8125,17.6733333333333,1,3,0,0,0,0,2,1,6.4,40,21.3,3,3,2,2,4,3,0.00156474114550945,0.631464360319926,0.522100113473501,0.434967734642508,0.849653036230519,1.50989999999842,374.077681738062,366.772830061986,76.6349637624306,76.1948778052419,10,20,20,20,10,20,10,20,10,20
1969,1004.7,15.61,14.795,17.045,18.865,19.165,24.7642857142857,24.92,21.5375,19.7227272727273,18.9025,19.8133333333333,6,4,0,0,0,0,2,7,17.5,4.5,34.8,7,9,0,0,4,4,0.00450851815676526,0.648956109926647,0.489308334077246,0.393453644604767,0.925568040712403,1.37263636363528,394.159395918045,394.520613439082,111.934542513969,108.201094719605,10,20,20,20,10,20,10,20,10,20
1970,1023.6,22.4066666666667,19.915,24.28,14.795,17.045,23.3380952380952,23.6225,22.84,22.4409090909091,20.105,16.4516666666667,0,5,0,0,1,1,1,5,0,1,0,0,4,2,2,0,0,0,0.713272431306613,0.581197588303624,0.453992676963474,0.894665345236297,1.50989999999944,369.409082181823,365.678088991926,170.715837897683,175.306328867017,10,20,20,20,10,20,10,20,10,20
1971,925.2,15.91,14.47,16.795,19.915,24.28,22.7309523809524,20.91,21.2725,17.4318181818182,19.13,16.9583333333333,4,8,0,0,0,0,3,0,30.5,42.2,0,7,10,2,2,3,0,0.0048961091589248,0.616988072868062,0.494453989294322,0.409710750171089,1.04982518651656,0,401.445262335137,400.95840655851,75.1513663786349,75.6550324465308,10,20,20,20,10,20,10,20,10,20
1972,921.1,19.06,17.79,18.9,14.47,16.795,21.6928571428571,22.595,23.555,15.4727272727273,17.65,13.36,3,8,0,0,0,0,2,3,1,33.9,9.2,2,6,2,2,6,4,0.00211367432164193,0.709974226085359,0.619231703758772,0.506865189970258,0.932152890873334,0.137263636363165,377.595219653619,374.599974819903,236.263790675412,236.838790675412,10,20,20,20,10,20,10,20,10,20
1973,1189,18.2666666666667,16.805,18.47,17.79,18.9,21.7714285714286,22.195,21.325,18.4772727272727,21.2625,13.7716666666667,1,4,0,0,0,0,1,2,1.5,21.8,0.4,4,3,2,2,3,1,0.00759095752633126,0.594537869112683,0.499856413846983,0.413119682336839,0.937739394828329,1.50989999999944,383.663825403177,378.238308585176,225.6952470024,240.558580335733,10,20,20,20,10,20,10,20,10,20
1974,1469.5,19.8433333333333,21.315,18.825,16.805,18.47,22.3142857142857,23.3875,21.79,17.0227272727273,18.5625,16.695,0,3,0,0,0,0,0,3,11.1,0.6,3.1,1,2,7,7,1,2,0,0.69388827462083,0.566567820620182,0.456453798745341,0.987273006911307,1.50989999999852,375.55577452695,369.585850664415,118.06619714152,132.694123793183,10,20,20,20,10,20,10,20,10,20
