Sup;Conf;Lift;Conv;Chi2;Lapl;Leve;Jacc;Cosi;Phi;MI;WRA;Entp;Gini;Cons;Ant
0.039;0.8666666666666667;3.2953105196451205;5.527500000000001;88.58910151691757;0.851063829787234;0.027165;0.1449814126394052;0.3584928315408269;0.2976392136747401;2.6136380902143665;0.027164999999999998;0.03829176548412383;0.017171314136125715;tomatoes;carrots  &  lettuce
0.043;0.5733333333333334;2.1799746514575413;1.7273437500000002;40.28590709255825;0.5714285714285714;0.023274999999999997;0.14576271186440679;0.3061681074388289;0.200713495043453;1.1117586562609763;0.023275;0.017563341306210623;0.007808657657657592;tomatoes;lettuce  &  potatoes
0.032;0.5517241379310345;2.0978104103841613;1.644076923076923;26.480125620152236;0.55;0.016745999999999997;0.11072664359861592;0.25909444828535627;0.16272715083891878;1.678973595746569;0.016746;0.011561476312005992;0.005132669229079734;tomatoes;lettuce  &  apples
0.022;0.5365853658536586;2.040248539367523;1.5903684210526317;16.509265030547574;0.5348837209302325;0.011216999999999998;0.07801418439716312;0.21186190753905126;0.12848838480791783;2.795128796335727;0.011217000000000001;0.00721398255366823;0.003200007350136036;tomatoes;carrots  &  onions
0.025;0.5208333333333334;1.9803548795944235;1.5380869565217392;17.2925555423711;0.52;0.012376;0.08741258741258741;0.22250589203403262;0.1315011617529332;2.2241705556329636;0.012376000000000002;0.007599048363235217;0.0033518333333333317;tomatoes;lettuce  &  confectionery
0.111;0.511520737327189;1.9449457693049008;1.5087641509433962;88.30799051216229;0.5114155251141552;0.053929;0.3008130081300813;0.4646385481133093;0.2971666039651197;0.09958611481580265;0.053929;0.04046310005045306;0.017116826108962924;tomatoes;lettuce
0.027;0.5094339622641509;1.9370112633617906;1.5023461538461538;17.534919399501028;0.509090909090909;0.013061;0.09342560553633218;0.22869041105994878;0.13241948270364534;1.9144416356551084;0.013061;0.00773828825718903;0.0033988109621247986;tomatoes;onions  &  lettuce
0.085;0.4857142857142857;1.8468223791417706;1.4330555555555557;54.28214666674975;0.4858757062146893;0.03897500000000001;0.24079320113314448;0.39620689320991187;0.23298529281212105;0.1520094413361626;0.038974999999999996;0.024716404438591744;0.01052156277056282;tomatoes;carrots
0.033;0.4852941176470588;1.8452247819279801;1.4318857142857144;18.60054653132603;0.4857142857142857;0.015116000000000001;0.11073825503355705;0.2467638908017608;0.13638382063619583;1.279344893578321;0.015116;0.008292207095875304;0.00360536253471333;tomatoes;carrots  &  potatoes
0.02;0.45454545454545453;1.7283097131005876;1.3511666666666668;8.711947483027643;0.45652173913043476;0.008428;0.06968641114982578;0.1859198597837567;0.09333781378962999;2.507304984342929;0.008427999999999998;0.003912704092877695;0.001688645492582741;tomatoes;oranges  &  lettuce
0.029;0.35365853658536583;1.34470926458314;1.1402641509433962;3.7876107769398155;0.35714285714285715;0.007434;0.09177215189873418;0.1974754887901561;0.061543568119989726;0.8901890369011867;0.007433999999999998;0.0017887162459616635;7.341563845049137E-4;tomatoes;onions  &  potatoes
0.042;0.3387096774193548;1.2878694958910828;1.1144878048780487;4.18597985698142;0.3412698412698413;0.009388;0.12173913043478261;0.23257368472685272;0.0646991488118771;0.3482353622563276;0.009387999999999995;0.0019990208006240295;8.113726616585382E-4;tomatoes;plums
0.028;0.32941176470588235;1.25251621561172;1.099035087719298;2.1138036154965256;0.3333333333333333;0.005644999999999997;0.0875;0.18727107100972154;0.04597612005700919;0.8272330855360968;0.005644999999999999;0.001011962578120973;4.0972066859523704E-4;tomatoes;peas
0.058;0.30687830687830686;1.1668376687388093;1.0633053435114503;2.3148211194631267;0.3089005235602094;0.008293000000000002;0.14720812182741116;0.26014723674652196;0.04811258795225141;0.06737060224590642;0.008292999999999995;0.0011287754743930511;4.486840924067259E-4;tomatoes;onions
0.025;0.3048780487804878;1.159232124640638;1.0602456140350878;0.8082036579076554;0.30952380952380953;0.0034339999999999996;0.078125;0.17023749033634147;0.02842892291149377;0.8852668479540748;0.0034339999999999987;3.9265008835376314E-4;1.5665492321581542E-4;tomatoes;grapes
0.02;0.2898550724637681;1.1021105416873311;1.0378163265306122;0.27575845080809935;0.29577464788732394;0.001852999999999997;0.0641025641025641;0.14846619424551377;0.01660597635816992;1.215117893860937;0.001853;1.3524732207781387E-4;5.345053627847651E-5;tomatoes;beans
0.061;0.27601809954751133;1.0494984773669631;1.01798125;0.24804287475811498;0.27802690582959644;0.0028769999999999976;0.14420803782505912;0.25302056659367583;0.015749376964125095;0.01847606660803508;0.0028770000000000015;1.231090093087306E-4;4.8078398457107596E-5;tomatoes;apples
0.077;0.27208480565371024;1.0345429872764647;1.0124805825242718;0.16806424380151555;0.2736842105263158;0.002571000000000004;0.16417910447761194;0.28224069518814576;0.01296395941838434;0.0036443375743833877;0.002570999999999994;8.36650763921809E-5;3.2576060440381305E-5;tomatoes;potatoes
0.263;0.263;1.0;1.0;0.0;0.2634730538922156;0.0;0.263;0.5128352561983235;0.0;-1.0;0.0;0.0;0.0;tomatoes;
